"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013131824","Monograph","Language material ; Text","Volume","","9789667047368","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Malkovych, Ivan [person] ; Morozov, Viktor [person]","Harri Potter i v'i︠a︡zenʹ Azkabanu","Harry Potter and the prisoner of Azkaban. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","381 pages, 21 cm","","YF.2005.a.10435","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013179922","Monograph","Language material ; Text","Volume","GBA533311","9780747581086","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2005","","607 pages","823.914","Nov.2006/97","Children's fiction ; Fantasy","English","Childrens edition"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013185310","Monograph","Language material ; Text","Volume","GBA536082","9780747581529","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2005","Large print edition","998 pages (large print), illustrations, 25 cm","823.914","LT.2010.x.1327","Children's fiction ; Fantasy ; Large print","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013274320","Monograph","Language material ; Text","Volume","GBA568985","9780747582380","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2005","","1 volume","823.914","","Children's fiction ; Fantasy","English","Originally published: London: Bloomsbury, 2000"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013430907","Monograph","Language material ; Text","Volume","","9789667047290","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Morozov, Viktor [person]","Harri Potter i napivkrovnyĭ prynt︠s︡","Harry Potter and the half-blood prince. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2006","","574 pages, 21 cm","","YF.2007.a.21134","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013462303","Monograph","Language material ; Text","Volume","","9789667047344","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Morozov, Viktor [person]","Harri Potter i tai︠e︡mna kimnata","Harry Potter and the chamber of secrets. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","344 pages, 21 cm","","YF.2006.a.17852","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013462304","Monograph","Language material ; Text","Volume","","9789669608864","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Morozov, Viktor [person]","Harri Potter i filosofsʹkyĭ kaminʹ","Harry Potter and the philosopher's stone. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","314 pages, 21 cm","","YF.2006.a.17850","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013462309","Monograph","Language material ; Text","Volume","","9789667047429","","Rowling, J. K.","","person","","Nehrebet︠s︡ʹkyĭ, Oleksa [person] ; Rowling, J. K. [person] ; Malkovych, Ivan [person] ; Morozov, Viktor [person]","Harri Potter i Orden Feniksa","Harry Potter and the Order of the Phoenix. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2003","","815 pages, 21 cm","","YF.2006.a.17851","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013476123","Monograph","Language material ; Text","Volume","GBA649965","9780747584681","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2006","","607 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: London: Bloomsbury, 2005"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013507712","Monograph","Language material ; Text","Volume","GBA660759","9780747586678","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter paperback boxed set","","","","England","London","Bloomsbury","2006","","6 volumes, 20 cm","823.914","","Children's fiction","English",""
